record_key,grid_cell_id,event_date,rainfall_present,meteorology_present,ndvi_exact_date_match,ndvi_same_cell_match,ndvi_matches_same_cell,in_final_model
4597569629,cell_0018,2024-03-14,True,True,False,False,0,False
3306569690,cell_0182,,True,True,False,True,2,False
3498782979,cell_0095,,True,True,False,False,0,False
3306557402,cell_0099,,True,True,False,False,0,False
1986741328,cell_0201,,True,True,False,True,1,False
1883745929,cell_0016,,True,True,False,False,0,False
3454077121,cell_0241,,True,True,False,True,2,False
865162638,cell_0146,,True,True,False,False,0,False
4046323282,cell_0100,2023-02-17,True,True,False,False,0,False
6171430160,cell_0109,,True,True,False,False,0,False
3383941686,cell_0194,,True,True,False,True,1,False
4903812412,cell_0253,,True,True,False,True,4,False
3819426872,cell_0130,,True,True,False,True,2,False
818752260,cell_0158,,True,True,False,False,0,False
2702537218,cell_0080,,True,True,False,False,0,False
1986762654,cell_0242,,True,True,False,True,3,False
3336680767,cell_0009,,True,True,False,False,0,False
3326299577,cell_0185,,True,True,False,False,0,False
577017111,cell_0310,,True,True,False,False,0,False
3326297567,cell_0185,,True,True,False,False,0,False
3454078130,cell_0241,,True,True,False,True,2,False
2170633814,cell_0064,,True,True,False,False,0,False
6170949609,cell_0110,,True,True,False,False,0,False
4138629354,cell_0101,,True,True,False,True,1,False
4465454244,cell_0260,2023-12-07,True,True,True,True,2,False
1883745394,cell_0016,,True,True,False,False,0,False
3306587041,cell_0183,,True,True,False,False,0,False
1986755738,cell_0216,,True,True,False,True,1,False
3926511946,cell_0272,,True,True,False,False,0,False
844526791,cell_0057,,True,True,False,True,2,False
2692446125,cell_0203,,True,True,False,True,2,False
952810252,cell_0119,,True,True,False,True,1,False
3498782786,cell_0000,,True,True,False,True,2,False
4611162380,cell_0079,,True,True,False,False,0,False
3960249312,cell_0223,,True,True,False,True,3,False
1986779406,cell_0242,,True,True,False,True,3,False
3306643431,cell_0200,,True,True,False,False,0,False
4598220374,cell_0046,,True,True,False,True,1,False
6163157536,cell_0088,,True,True,False,False,0,True
4165522909,cell_0072,,True,True,False,True,1,False
1986748523,cell_0081,,True,True,False,True,1,False
818697726,cell_0199,,True,True,False,True,1,False
1415643275,cell_0184,,True,True,False,True,1,False
3995665119,cell_0079,,True,True,False,False,0,False
4600102341,cell_0143,,True,True,False,False,0,False
1947775597,cell_0288,,True,True,False,False,0,False
1415636125,cell_0124,,True,True,False,True,1,False
3306687074,cell_0205,,True,True,False,True,1,False
4413552195,cell_0240,,True,True,False,True,1,False
1986733423,cell_0053,,True,True,False,True,2,False
1415643409,cell_0144,,True,True,False,False,0,False
979598415,cell_0158,,True,True,False,False,0,False
4165353690,cell_0011,,True,True,False,True,2,False
576971039,cell_0310,,True,True,False,False,0,False
3347167607,cell_0253,,True,True,False,True,4,False
2249872929,cell_0243,,True,True,False,True,1,False
2182207962,cell_0064,,True,True,False,False,0,False
3306587039,cell_0183,,True,True,False,False,0,False
1986732273,cell_0098,,True,True,False,False,0,False
6422488547,cell_0146,,True,True,False,False,0,False
2979481808,cell_0193,,True,True,False,False,0,False
3498782785,cell_0000,,True,True,False,True,2,False
5297261755,cell_0181,,True,True,False,True,1,False
2249871956,cell_0223,,True,True,False,True,3,False
3513911260,cell_0040,,True,True,False,False,0,False
942031673,cell_0098,,True,True,False,False,0,True
2611310689,cell_0287,2015-11-25,True,True,False,False,0,False
1986741901,cell_0099,,True,True,False,False,0,True
4976342516,cell_0283,2024-10-21,True,True,False,False,0,False
4993958872,cell_0242,2024-12-03,True,True,True,True,3,False
2882955668,cell_0297,,True,True,False,True,2,False
3512802210,cell_0040,,True,True,False,False,0,False
1831098922,cell_0106,,True,True,False,True,1,False
6430955390,cell_0065,,True,True,False,True,1,False
4046265396,cell_0047,2023-02-20,True,True,True,True,1,False
46822657,cell_0251,,True,True,False,True,1,False
4029735943,cell_0080,,True,True,False,False,0,False
4506306788,cell_0057,,True,True,False,True,2,False
3347162425,cell_0253,,True,True,False,True,4,False
1947775587,cell_0107,,True,True,False,True,1,False
2190418173,cell_0079,,True,True,False,False,0,False
3955496515,cell_0053,,True,True,False,True,2,False
3030315394,cell_0301,,False,True,False,False,0,False
3819436906,cell_0130,,True,True,False,True,2,False
4165554721,cell_0011,,True,True,False,True,2,False
6170942262,cell_0109,,True,True,False,False,0,False
4465417247,cell_0260,2023-12-07,True,True,True,True,2,False
4610147151,cell_0163,,True,True,False,False,0,False
3347168803,cell_0253,,True,True,False,True,4,False
2832385617,cell_0164,,True,True,False,False,0,False
3351082197,cell_0193,,True,True,False,False,0,False
1986732396,cell_0221,,True,True,False,False,0,False
1883745767,cell_0016,,True,True,False,False,0,False
577269698,cell_0158,,True,True,False,False,0,False
3336680784,cell_0039,,True,True,False,True,1,False
4112217638,cell_0141,2023-05-05,True,True,True,True,3,False
4919681435,cell_0117,,True,True,False,False,0,False
2669388624,cell_0160,,True,True,False,True,2,False
857832132,cell_0144,,True,True,False,False,0,False
